well,chem,year,value_ugL,detect
10113,"1,1,2,2-Tetrachloroethane",2001,10.0,nondetect
10113,"1,2,4-Trichlorobenzene",2001,10.0,nondetect
10113,"1,2-Dichlorobenzene",2001,10.0,nondetect
10113,"1,4-Dichlorobenzene",2001,10.0,nondetect
10113,Benzene,2001,10.0,nondetect
10113,Chlorobenzene,2001,10.0,nondetect
10113,Ethylbenzene,2001,10.0,nondetect
10113,Tetrachloroethene (PCE),2001,10.0,nondetect
10113,Toluene,2001,10.0,nondetect
10113,Trichloroethene (TCE),2001,10.0,nondetect
10113,Vinyl chloride,2001,10.0,nondetect
10135,"1,1,2,2-Tetrachloroethane",2000,27.0,detect
10135,"1,1,2,2-Tetrachloroethane",2001,100.0,detect
10135,"1,2,4-Trichlorobenzene",2000,45.0,detect
10135,"1,2,4-Trichlorobenzene",2001,42.0,detect
10135,"1,2,4-Trichlorobenzene",2005,67.0,detect
10135,"1,2,4-Trichlorobenzene",2006,63.0,detect
10135,"1,2-Dichlorobenzene",2000,22.0,detect
10135,"1,2-Dichlorobenzene",2001,48.0,detect
10135,"1,2-Dichlorobenzene",2005,36.0,detect
10135,"1,2-Dichlorobenzene",2006,37.0,detect
10135,"1,4-Dichlorobenzene",2000,59.0,detect
10135,"1,4-Dichlorobenzene",2001,69.0,detect
10135,"1,4-Dichlorobenzene",2005,100.0,detect
10135,"1,4-Dichlorobenzene",2006,100.0,detect
10135,Benzene,2000,6400.0,detect
10135,Benzene,2001,7600.0,detect
10135,Benzene,2006,6800.0,detect
10135,Chlorobenzene,2000,2300.0,detect
10135,Chlorobenzene,2001,2700.0,detect
10135,Chlorobenzene,2005,2000.0,detect
10135,Chlorobenzene,2006,2400.0,detect
10135,Chloroform / THMs,2000,100.0,detect
10135,Ethylbenzene,2000,12.0,detect
10135,Ethylbenzene,2001,22.0,detect
10135,Tetrachloroethene (PCE),2000,16.0,detect
10135,Tetrachloroethene (PCE),2001,50.0,detect
10135,Tetrachloroethene (PCE),2006,330.0,nondetect
10135,Toluene,2000,21000.0,detect
10135,Toluene,2001,22000.0,detect
10135,Toluene,2005,16000.0,detect
10135,Toluene,2006,21000.0,detect
10135,Trichloroethene (TCE),2000,60.0,detect
10135,Trichloroethene (TCE),2001,140.0,detect
10135,Trichloroethene (TCE),2006,46.0,detect
10135,Vinyl chloride,2000,110.0,detect
10135,Vinyl chloride,2001,75.0,detect
10135,Xylene,2000,42.0,detect
10174A,"1,2,4-Trichlorobenzene",2005,9.4,nondetect
10174A,"1,2-Dichlorobenzene",2005,9.4,nondetect
10174A,"1,4-Dichlorobenzene",2005,9.4,nondetect
10174A,Chlorobenzene,2005,10.0,nondetect
10174A,Toluene,2005,10.0,nondetect
10178A,"1,2,4-Trichlorobenzene",2006,10.0,nondetect
10178A,"1,2-Dichlorobenzene",2006,10.0,nondetect
10178A,"1,4-Dichlorobenzene",2006,10.0,nondetect
10178A,Benzene,2006,10.0,nondetect
10178A,Chlorobenzene,2006,10.0,nondetect
10178A,Tetrachloroethene (PCE),2006,10.0,nondetect
10178A,Toluene,2006,10.0,nondetect
10178A,Trichloroethene (TCE),2006,10.0,nondetect
10205,"1,1,2,2-Tetrachloroethane",2000,10.0,nondetect
10205,"1,1,2,2-Tetrachloroethane",2001,10.0,nondetect
10205,"1,1,2,2-Tetrachloroethane",2009,10.0,nondetect
10205,"1,2,4-Trichlorobenzene",2000,10.0,nondetect
10205,"1,2,4-Trichlorobenzene",2001,10.0,nondetect
10205,"1,2,4-Trichlorobenzene",2005,9.4,nondetect
10205,"1,2,4-Trichlorobenzene",2006,10.0,nondetect
10205,"1,2-Dichlorobenzene",2000,10.0,nondetect
10205,"1,2-Dichlorobenzene",2001,10.0,nondetect
10205,"1,2-Dichlorobenzene",2005,9.4,nondetect
10205,"1,2-Dichlorobenzene",2006,10.0,nondetect
10205,"1,4-Dichlorobenzene",2000,10.0,nondetect
10205,"1,4-Dichlorobenzene",2001,10.0,nondetect
10205,"1,4-Dichlorobenzene",2005,9.4,nondetect
10205,"1,4-Dichlorobenzene",2006,10.0,nondetect
10205,Benzene,2000,10.0,nondetect
10205,Benzene,2001,2.0,detect
10205,Benzene,2006,10.0,nondetect
10205,Benzene,2009,10.0,nondetect
10205,Chlorobenzene,2000,10.0,nondetect
10205,Chlorobenzene,2001,10.0,nondetect
10205,Chlorobenzene,2005,10.0,nondetect
10205,Chlorobenzene,2006,10.0,nondetect
10205,Chlorobenzene,2009,10.0,nondetect
